280,princesses,fiction,955
281,critics,biography,240
282,comparative literature,literature,1958
283,autobiography,biography,767
284,widowers,fiction,218
285,park rangers,history,21
286,brothers and sisters,fiction,3119
287,cognition,psychology,817
288,borderline personality disorder,psychology,53
289,breast,psychology,199
290,insurgency,politics,274
291,american fiction,fiction,2350
292,occult,fiction,30
293,characters in literature,literature,317
294,modern philosophy,philosophy,388
295,chronology,history,189
296,latin epic poetry,poetry,156
297,orphans,fiction,1648
298,whites,biography,245
299,friendship in fiction,fiction,184
300,cartoons and comics,fiction,1839
301,literary criticism,literature,3961
302,mothers,fiction,682
303,controversial literature,literature,823
304,dreams,fiction,452
305,teddy bears,fiction,181
306,lesbian detectives,fiction,20
307,nationalism,politics,1454
308,suspense,fiction,1344
309,economic policy,politics,1543
310,study guides,literature,243
311,nursing,psychology,439
312,escapes,biography,250
313,legislation,politics,90
314,language and languages,philosophy,857
315,dragons,fiction,903
316,political activity,history,2409
317,penguins,fiction,152
318,bullying,fiction,692
319,philosophical anthropology,philosophy,181
320,greece,history,111
321,murder,fiction,4353
322,people with visual disabilities,fiction,23
323,animal sounds,fiction,87
324,art and state,politics,81
325,alcoholics,psychology,191
326,space flight to the moon,juvenile,32
327,military leadership,biography,263
328,horse racing,fiction,135
329,communists,biography,204
330,psychopathology,psychology,574
331,social role,psychology,38
332,personal beauty,fiction,188
333,rabbits,fiction,625
334,russian national characteristics,psychology,32
335,english drama,history,1112
336,group work in education,psychology,19
337,women authors,literature,3675
338,adolescents,psychology,560
339,social conditions,politics,8581
340,presidents,biography,2283
341,roman,fiction,1298
342,literary collections,literature,1045
343,conversation and phrase books,history,28
344,businessmen,biography,484
345,fugitive slaves,juvenile,243
346,women in literature,literature,1588
347,space ships,fiction,62
348,revolution,politics,135
349,conservationists,biography,99
350,seafaring life,history,193
351,state governments,politics,38
352,impersonation,fiction,74
353,life change events,fiction,597
354,goddesses,fiction,72
355,anarchism,history,112
356,east and west,history,299
357,diplomats,biography,334
358,safety measures,juvenile,152
359,neighbors,fiction,284
360,large type books,fiction,7754
361,english language,literature,2329
362,antiquities,history,872
363,conduct of life,fiction,2824
364,anxiety in children,psychology,32
365,manners and customs,fiction,2645
366,agriculture in literature,literature,44
367,catholics,fiction,451
368,americans,fiction,1174
369,recherche,psychology,699
370,stories in rhyme,fiction,2186
371,imaginary playmates,fiction,40
372,architecture,philosophy,848
373,statesmen,biography,1045
374,american foreign public opinion,history,96
375,disguise,fiction,56
376,clubs,fiction,256
377,gerontology,psychology,122
378,mystery,fiction,1602
379,incantations,magic,24
380,arts,history,414
381,fear,fiction,875
382,american authors,biography,2029
383,popular culture in literature,literature,40
384,readers,fiction,1446
385,immigration,science,26
386,christmas,fiction,946
387,caricatures and cartoons,politics,258
388,political science,science,8612
389,sexually abused children,psychology,94
390,contemporary women,fiction,281
391,deportation,biography,51
392,organized crime,fiction,383
393,spiritual warfare,fiction,21
394,intellectual life,history,6929
395,promises,fiction,29
396,politicians,biography,1036
397,composition and exercises,literature,130
398,apartheid,politics,201
399,childhood and youth,biography,1280
400,zoology,juvenile,234
401,fathers and sons,fiction,1155
402,mass media and literature,literature,39
403,catholic women,fiction,39
404,officials and employees,biography,1087
405,african american clergy,biography,57
406,politics and literature,politics,1472
407,exhibitions,biography,939
408,social justice,politics,325
409,health promotion,psychology,159
410,refugees,biography,605
411,older women,fiction,174
412,resistance to government,fiction,404
413,american novelists,biography,413
414,middle schools,fiction,614
415,africa,literature,200
416,best friends,fiction,1098
417,divorced women,fiction,154
418,abnormalities,psychology,45
419,community mental health services,psychology,181
420,ocean,juvenile,125
421,assertiveness,psychology,15
422,substance abuse,psychology,296
423,adverse effects,psychology,101
424,artists,biography,1254
425,forecasting,politics,268
426,families,fiction,5291
427,autobiography and memoir,biography,174
428,feminism and motion pictures,philosophy,26
429,balance of power,politics,95
430,language,psychology,726
431,leaves,fiction,23
432,doctrines,history,867
433,indian reservations,fiction,49
434,sex differences,psychology,352
435,listening,psychology,38
436,art,history,2116
437,foster children,fiction,78
438,etiquette,fiction,191
439,democracy,politics,1599
440,political and social views,history,2222
441,emotions in literature,literature,114
442,case studies,psychology,2807
443,secret service,biography,514
444,psychiatry,psychology,922
445,miscellanea,juvenile,788
446,torture victims,psychology,25
447,motion picture industry,fiction,231
448,adventure and adventurers,fiction,2597
449,crocheting,juvenile,23
450,boats and boating,fiction,121
451,economic integration,politics,222
452,ghost stories,fiction,741
453,machine theory,magic,26
454,children in literature,literature,117
455,concentration camps,biography,392
456,apologetics,literature,162
457,slavery,history,1165
458,minority authors,literature,270
459,african american baptists,biography,19
460,spanish language,juvenile,1200
461,grandparent and child,fiction,300
462,wildlife conservation,juvenile,160
463,violence,literature,1257
464,fables,fiction,150
465,war and society,history,216
466,environmental degradation,fiction,89
467,confederate personal narratives,history,248
468,alcohol use,psychology,116
469,realism in literature,literature,188
470,in literature,literature,4684
471,parent and child,fiction,951
472,marxist philosophy,philosophy,65
473,internal medicine,psychology,498
474,singers,biography,484
475,kings and rulers,biography,1828
476,authority in literature,literature,99
477,detectives,fiction,317
478,dominican americans,fiction,23
479,political prisoners,biography,408
480,feminism,history,1089
481,proverbs,politics,32
482,theology,philosophy,778
483,clinical psychology,psychology,918
484,children of drug addicts,juvenile,20
485,flashback,fiction,23
486,school children,psychology,211
487,prisoners of war,biography,649
488,vocational guidance,juvenile,331
489,cognition in children,psychology,219
490,first day of school,fiction,166
491,tv show,fiction,21
492,summer,fiction,251
493,jazz,biography,162
494,gay men,biography,685
495,supernatural,fiction,1563
496,nuclear warfare,politics,149
497,historical romance,romance,201
498,sociology,philosophy,2316
499,christian education,philosophy,93
500,bilingual education,science,22
501,art criticism,history,140
502,shapes,juvenile,124
503,homeric civilization,poetry,23
504,east indian americans,fiction,70
505,political participation,politics,792
506,information technology,science,197
507,chronic disease,psychology,180
508,vampires,fiction,783
509,spanish language materials,fiction,3985
510,oratory,history,95
511,war stories,fiction,367
512,cognition and culture,psychology,84
513,communication,psychology,623
514,mexican americans,fiction,534
515,animal shelters,fiction,52
516,funeral rites and ceremonies,fiction,88
517,christian art and symbolism,history,115
518,dogs,fiction,2240
519,college graduates,fiction,37
520,mort,psychology,468
521,sociolinguistics,history,123
522,education,philosophy,3014
523,neighborhood,fiction,81
524,acquired immunodeficiency syndrome,psychology,224
525,zoos,fiction,194
526,western influences,literature,84
527,religion,philosophy,4513
528,african american women in literature,literature,206
529,juvenile works,juvenile,424
530,modern history,history,174
531,slaves,juvenile,829
532,christian women saints,biography,97
533,american propaganda,history,33
534,inquisition,fiction,67
535,buddhism,philosophy,422
536,protest movements,history,654
537,christian hagiography,literature,101
538,censorship,history,529
539,composers,biography,344
540,anatomy,history,142
541,baseball players,biography,245
542,drinking of alcoholic beverages,history,52
543,grief,fiction,1067
544,sisters,fiction,1657
545,sheriffs,fiction,153
546,press and politics,politics,435
547,methodology,psychology,1194
548,nationalism and literature,literature,174
549,chemistry,juvenile,133
550,training of,psychology,222
551,commerce,history,493
552,bilingual,fiction,1268
553,discrimination in employment,history,31
554,astronomy,juvenile,218
555,black theology,history,20
556,hinduism,philosophy,173
557,ethics,philosophy,1319
558,charities,history,70
559,art and literature,literature,379
560,influence,history,3637
561,puzzles,juvenile,258
562,free enterprise,politics,80
563,patients,biography,1920
564,social workers,psychology,74
565,science fiction,fiction,2694
566,crusades in literature,literature,23
567,paranormal fiction,fiction,1207
568,modern aesthetics,history,138
569,basketball,fiction,225
570,diaries,fiction,1824
571,socialism,politics,469
572,dinosaurs,fiction,402
573,political violence,history,421
574,jungle animals,fiction,114
575,organizational change,psychology,117
576,egyptian language,literature,30
577,infant,psychology,646
578,judaism and politics,politics,59
579,human body,juvenile,652
580,chronic diseases in children,psychology,22
581,good and evil,fiction,1327
582,drug traffic,fiction,302
583,developmental psychology,psychology,653
584,television actors and actresses,biography,127
585,art and society,history,205
586,group relations training,psychology,19
587,african american civil rights workers,biography,235
588,racism in literature,literature,128
589,english novelists,biography,332
590,mexicans,history,72
591,japanese literature,literature,164
592,climatic changes,science,159
593,nurses,biography,382
594,social issues,fiction,644
595,labor leaders,biography,134
596,educational psychology,psychology,617
597,tadpoles,fiction,23
598,laments,poetry,98
599,african american air pilots,juvenile,28
600,juvenile dictionaries,juvenile,166
601,commando operations,history,67
602,heroes,fiction,821
603,contemporary,fiction,397
604,authors and readers,literature,250
605,anecdotes,biography,1112
606,transportation,juvenile,316
607,survivors,psychology,101
608,astrology,fiction,60
609,psychic trauma in literature,literature,108
610,medical personnel,biography,140
611,catalogs,biography,820
612,bereavement,psychology,582
613,fictitious characters,fiction,34
614,princes,fiction,628
615,juvenile nonfiction,fiction,2118
616,theater,fiction,1404
617,greek epic poetry,poetry,279
618,historical fiction,fiction,1908
619,city planning,science,265
620,homosexuality,psychology,570
621,curriculum planning,philosophy,52
622,flight,fiction,128
623,spiritual biography,biography,98
624,american horror tales,horror,680
625,secularism,politics,147
626,meditations,biography,119
627,information systems,science,30
628,activity programs,juvenile,320
629,missionaries of charity,biography,39
630,gifted persons,psychology,37
631,jewish magic,magic,23
632,middle age,psychology,71
633,picture puzzles,juvenile,129
634,french poetry,poetry,201
635,modern architecture,philosophy,124
636,alberta,biography,29
637,gymnastics,fiction,43
638,mass media,politics,938
639,ford motor company,biography,20
640,men,psychology,682
641,catholic church,history,1808
642,german literature,literature,1081
643,shipwreck survival,fiction,240
644,birds,fiction,505
645,art appreciation,juvenile,300
646,healing,psychology,173
647,radicalism,politics,460
648,frankfurt school of sociology,history,22
649,buddhist priests,biography,51
650,irish,fiction,192
651,german americans,fiction,106
652,english fantasy fiction,fiction,385
653,swindlers and swindling,fiction,179
654,intellectuals,politics,567
655,chilean literature,literature,21
656,international organization,philosophy,79
657,political persecution,history,289
658,gratitude,fiction,61
659,runaways,fiction,239
660,lego toys,fiction,125
661,anarchists,biography,59
662,anthropology,philosophy,1569
663,environmental sciences,science,105
664,private investigators,fiction,1314
665,islamic fundamentalism,politics,249
666,voluntarism,juvenile,69
667,classics,magic,527
668,natural history,history,554
669,vikings,fiction,119
670,tumors,juvenile,64
671,nature in literature,literature,310
672,english epic poetry,poetry,103
673,game wardens,fiction,26
674,classical literature,literature,387
675,botanists,biography,49
676,power resources,juvenile,65
677,geopolitics,politics,400
678,natural resources,history,115
679,chronic diseases,psychology,103
680,arthurian romances,romance,526
681,drug use,psychology,186
682,women in politics,politics,421
683,bible stories,juvenile,357
684,chemotherapy,psychology,77
685,underground movements,biography,481
686,oral interpretation,literature,21
687,french fiction,fiction,342
688,ethnic relations,history,1979
689,educators,biography,250
690,romanticism in art,literature,25
691,elephants,fiction,291
692,ethnic identity,history,643
693,ethnology,philosophy,716
694,christian sects,biography,49
695,german aerial operations,biography,63
696,knowledge,literature,2280
697,islam,politics,1275
698,parenthood,psychology,56
699,vocabulary,juvenile,554
700,juvenile,fiction,539
701,physician and patient,psychology,200
702,underground railroad,juvenile,458
703,electronic data processing,science,43
704,relations,history,2004
705,world history,history,323
706,industrial policy,politics,94
707,ancient literature,literature,71
708,political aspects,politics,3821
709,courtly love in literature,literature,65
710,politics and war,politics,96
711,leadership,psychology,526
712,effect of human beings on,philosophy,214
713,sharing,fiction,182
714,christianity and politics,politics,742
715,manned space flight,history,30
716,islamic civilization,politics,111
717,psychological aspects,psychology,5878
718,sportsmanship,fiction,48
719,asian americans in literature,literature,85
720,happiness,psychology,420
721,urban transportation,science,14
722,biology,philosophy,339
723,ancient philosophy,philosophy,308
724,globalization,politics,911
725,islam and world politics,politics,54
726,general,fiction,15522
727,rome,politics,146
728,religious aspects of sex,young,56
729,strikes and lockouts,history,101
730,cognitive science,science,627
731,married people,fiction,646
732,pastoral theology,history,55
733,kidnapping,fiction,957
734,causes,history,443
735,instinct,psychology,18
736,research,science,1709
737,american,juvenile,1380
738,spanish,juvenile,426
739,pirates,fiction,547
740,hormones,psychology,21
741,werewolves,fiction,273
742,historic sites,juvenile,178
743,attitudes,psychology,985
744,family secrets,fiction,642
745,book design,poetry,25
746,employees,psychology,770
747,nature,juvenile,937
748,time perception,psychology,52
749,women in judaism,literature,31
750,single women,fiction,228
751,spies,biography,750
752,knights and knighthood,fiction,443
753,child sexual abuse,psychology,197
754,goblins,fiction,164
755,depressions,fiction,293
756,legal stories,fiction,273
757,sports,history,865
758,animal intelligence,psychology,42
759,inuit,juvenile,159
760,academic dissertations,literature,42
761,imprisonment,biography,168
762,science,nonfiction,3443
763,child psychology,psychology,1880
764,criminals,fiction,665
765,literature and history,literature,682
766,higher education,philosophy,262
767,elections,politics,927
768,israelis,fiction,76
769,coroners,mystery,133
770,lamas,biography,17
771,christian sociology,politics,170
772,textbooks for foreign speakers,fiction,243
773,authorship,literature,1947
774,older people,psychology,589
775,psychometrics,psychology,143
776,consciousness,psychology,330
777,vaccination,history,23
778,mice,fiction,857
779,horror,fiction,946
780,attitude to health,psychology,167
781,american autobiographical fiction,fiction,36
782,teachers,fiction,722
783,single mothers,fiction,321
784,marketing,psychology,221
785,navies,history,24
786,college teachers,biography,431
787,blind,fiction,239
788,personality assessment,psychology,117
789,women intellectuals,literature,73
790,creative ability,psychology,256
791,political sociology,science,160
792,gorilla,fiction,51
793,facsimiles,fiction,270
794,alternative medicine,psychology,127
795,motion pictures,fiction,1028
796,automobile engineers,biography,23
797,celtic mythology,literature,115
798,friends and associates,biography,1027
799,time travel,fiction,844
800,lesbians,fiction,657
801,christian biography,biography,365
802,african american teenagers,fiction,58
803,discoveries in geography,juvenile,334
804,jungian psychology,psychology,206
805,hispanic americans,fiction,542
806,animal rights,philosophy,64
807,child soldiers,juvenile,51
808,behavior therapy,psychology,301
809,missing persons,fiction,1374
810,travel in literature,literature,169
811,revolutionaries,biography,428
812,arabic manuscripts,literature,30
813,courtly love,literature,36
814,nonviolence,philosophy,101
815,food habits,history,270
816,lyricists,biography,27
817,squirrels,fiction,102
818,women detectives,fiction,1155
819,dream interpretation,psychology,46
820,anxiety,psychology,221
821,existentialism,philosophy,107
822,middle ages,history,716
823,monarchy,history,176
824,love,fiction,1852
825,cultural psychiatry,psychology,81
826,computer industry,history,53
827,english women authors,literature,229
828,marine animals,fiction,182
829,voyages around the world,juvenile,102
830,human life cycle,psychology,99
831,discipline of children,juvenile,33
832,new york times bestseller,fiction,5142
833,brides,fiction,29
834,north atlantic treaty organization,politics,128
835,sociological jurisprudence,philosophy,56
836,lgbt,romance,61
837,women forensic anthropologists,fiction,43
838,true crime,biography,146
839,female friendship,fiction,566
840,central government,science,79
841,legends,fiction,759
842,parent and teenager,psychology,133
843,art and music,philosophy,21
844,coming of age,fiction,557
845,investigation,fiction,3049
846,armed forces,history,1312
847,hymns,poetry,55
848,jewish religious literature,literature,37
849,frogs,fiction,233
850,texts,fiction,821
851,international economic relations,politics,395
852,star wars films,fiction,57
853,martial arts,biography,138
854,american economic assistance,politics,50
855,english historical drama,history,124
856,american poetry,poetry,1270
857,in art,literature,511
858,terrorism,fiction,1373
859,stories for children,fiction,27
860,social ecology,philosophy,71
861,bears,fiction,846
862,american women poets,poetry,73
863,medical records,psychology,28
864,romance,fiction,2203
865,astronomers,biography,68
866,australian fiction,fiction,54
867,design and construction,juvenile,203
868,political campaigns,politics,426
869,liberation theology,politics,80
870,instruction and study,juvenile,115
871,science and state,science,123
872,adolescence,psychology,533
873,egyptian mythology,juvenile,41
874,disasters,fiction,168
875,material culture,history,167
876,american poets,biography,456
877,election districts,politics,19
878,poor,biography,285
879,black authors,literature,274
880,american prose literature,literature,286
881,budget,science,71
882,european union,politics,643
883,mediterranean region,history,22
884,wilderness survival,fiction,157
885,apartment houses,fiction,75
886,united states in fiction,fiction,57
887,cognitive styles,psychology,33
888,curricula,history,143
889,handicraft,juvenile,266
890,canadian personal narratives,biography,168
891,powhatan indians,history,23
892,performance,psychology,186
893,characters,literature,906
894,economic development,politics,609
895,spirituality,psychology,439
896,pamphlets,history,83
897,anglican communion,biography,134
898,drug addicts,fiction,164
899,regimental histories,biography,618
900,lynching,history,61
901,caregivers,psychology,264
902,social institutions,politics,38
903,ukrainian literature,literature,61
904,farms,fiction,197
905,geometry,juvenile,75
906,church buildings,history,47
907,fathers and sons in fiction,fiction,34
908,public health,psychology,462
909,cold,juvenile,27
910,brain,psychology,689
911,decision making,psychology,630
912,fiction in english,fiction,467
913,drug dealers,fiction,101
914,school stories,fiction,1175
915,catholic converts,biography,38
916,young adult,young,237
917,contemporary romance,romance,163
918,mothers and sons,fiction,576
919,art dealers,biography,52
920,translating,history,135
921,relaxation,juvenile,22
922,technology,philosophy,677
923,middle school students,fiction,201
924,defenses,politics,183
925,guidebooks,literature,220
926,political psychology,psychology,184
927,women philanthropists,biography,26
928,authors,fiction,671
929,uncles,fiction,300
930,black,juvenile,13
931,skating,fiction,81
932,bats,fiction,86
933,african literature,literature,122
934,dyslexia,fiction,41
935,international agencies,politics,57
936,family psychotherapy,psychology,243
937,national socialism in literature,literature,29
938,athletes,psychology,255
939,chinese americans,fiction,257
940,culture,philosophy,812
941,american humorous stories,fiction,62
942,attachment behavior,psychology,112
943,stress in children,psychology,28
944,hindu philosophy,philosophy,51
945,hispanic american authors,history,140
946,adult child sexual abuse victims,psychology,103
947,alternative treatment,psychology,58
948,jewish physicians,biography,44
949,god,philosophy,382
950,prevention,psychology,1383
951,ancient ethics,philosophy,23
952,twin sisters,fiction,27
953,indian authors,literature,249
954,gang members,juvenile,38
955,mexican american women,literature,88
956,slavery in literature,literature,244
957,politics and culture,politics,536
958,reconciliation,fiction,143
959,russian authors,literature,153
960,pictorial works,history,3254
961,automobiles,fiction,160
962,fantasy literature,fiction,46
963,religious right,politics,59
964,aspect social,psychology,1928
965,clinical health psychology,psychology,154
966,physiological aspects,psychology,304
967,numbers,juvenile,20
968,admirals,biography,199
969,english authors,literature,1141
970,portraits,biography,368
971,cabala,history,72
972,marital violence,psychology,39
973,aerial operations,biography,107
974,british,fiction,1074
975,memory,psychology,819
976,lesbianism,psychology,105
977,skyscrapers,history,16
978,gardens,fiction,238
979,toy and movable books,fiction,1631
980,ambition,biography,56
981,television journalists,biography,71
982,legends and stories,fiction,28
983,young adult fiction,fiction,1637
984,music,history,1578
985,novel,fiction,248
986,religious life and customs,history,316
987,medical care,psychology,748
988,picture books for children,fiction,1678
989,ancient rhetoric,history,244
990,eating disorders,psychology,210
991,feminism in literature,literature,198
992,revolutions,politics,302
993,cowboys,fiction,194
994,english religious poetry,poetry,36
995,courtesy,fiction,68
996,personality,psychology,465
997,naturalists,biography,229
998,visual communication,history,81
999,african american poets,juvenile,74
1000,rhetoric,literature,894
1001,going,young,89
1002,french literature,literature,956
1003,information storage and retrieval systems,science,42
1004,ecology,juvenile,554
1005,conflict of generations,fiction,281
1006,fame,literature,143
1007,fascism,history,254
1008,in mass media,politics,75
1009,utopias,literature,150
1010,deaf children,fiction,46
1011,organizations,psychology,30
1012,sex offenders,psychology,67
1013,food,juvenile,394
1014,motivation in education,psychology,48
1015,mistresses,fiction,135
1016,arizona,juvenile,25
1017,social values,science,292
1018,light,juvenile,53
1019,librarians,fiction,173
1020,poetics,poetry,436
1021,methods,psychology,1828
1022,uniforms,history,19
1023,condensed books,fiction,29
1024,age factors,psychology,65
1025,body image,psychology,316
1026,broadcasting,history,21
1027,photographers,biography,305
1028,marital psychotherapy,psychology,72
1029,english fiction,fiction,2151
1030,ship captains,fiction,204
1031,chaotic behavior in systems,philosophy,26
1032,policewomen,fiction,399
1033,lawyers,biography,462
1034,american christian fiction,fiction,66
1035,argentine literature,literature,38
1036,neurology,psychology,139
1037,medieval philosophy,philosophy,269
1038,aggressiveness,psychology,122
1039,social classes,fiction,755
1040,romances,romance,389
1041,newspaper editors,biography,62
1042,social media,fiction,231
1043,texas rangers,fiction,56
1044,classic literature,literature,1487
1045,government productivity,science,15
1046,sexual health,psychology,39
1047,internet in political campaigns,politics,30
1048,aeronautics,juvenile,110
1049,management,psychology,666
1050,ancient poetry,poetry,39
1051,literature and morals,literature,90
1052,mormons,fiction,186
1053,postmodernism and education,philosophy,25
1054,handbooks,psychology,87
1055,african american arts,history,82
1056,ojibwa indians,fiction,102
1057,civil society,politics,229
1058,italian poetry,poetry,62
1059,american feminist fiction,fiction,56
1060,christian life in fiction,fiction,41
1061,law and legislation,politics,755
1062,group identity,history,529
1063,international security,politics,424
1064,sociologists,biography,98
1065,medicine,philosophy,1097
1066,autistic children,psychology,132
1067,written communication,literature,94
1068,african american women civil rights workers,biography,117
1069,english poetry,poetry,1595
1070,neurosciences,science,268
1071,adventure,fiction,457
1072,literature publishing,literature,299
1073,public debts,politics,37
